mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.6652452945709229,0.042314966641451235,0.04191072781880697,0.0012260481627546051,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7940406253675688,0.7907337769488538,0.7794120793773412,0.788062160564588,0.0062637443554452886,35,1.0,1.0,1.0,1.0,0.0
3.935022989908854,0.3663489325454268,0.07895572980244954,0.00628142388447089,,1,2,400,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.800250226803179,0.8107026362403827,0.7809986303194874,0.7973171644543496,0.012302686237667426,2,1.0,1.0,1.0,1.0,0.0
9.10892097155253,0.21696887116699176,0.1771996815999349,0.06104905939398559,,1,2,800,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.808349428384944,0.8089865504992406,0.7736892538346842,0.7970084109062897,0.016491185444448466,5,1.0,1.0,1.0,1.0,0.0
2.1492350896199546,0.17145239673942922,0.04655559857686361,0.0047588365921007935,,1,6,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.7972528825493901,0.8039071712987933,0.7802730215520913,0.7938110251334249,0.009950813883505848,16,0.9974187200679274,0.9954052907197615,0.9977298260364912,0.9968512789413934,0.001030326221395474
4.480160474777222,0.16354549337182886,0.060830275217692055,0.006443151630772448,,1,6,400,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 400}",0.7986337830723722,0.8036033896256822,0.7805076185943423,0.7942482637641323,0.009925665203072618,12,0.9962823387572017,0.9962807074345701,0.9979862297346652,0.9968497586421456,0.0008036066921086861
9.138984441757202,0.04461387367792719,0.18791913986206055,0.05216938476095167,,1,6,800,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 800}",0.8015412871877063,0.8030587231129231,0.7811329508828007,0.7952443203944767,0.009997456845554274,9,0.9962836448257093,0.9962767647085384,0.9979862297346652,0.9968488797563043,0.0008042327871792799
2.2009640534718833,0.04776487253199393,0.04191327095031738,0.0016248202201450557,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7917843211730531,0.788158283069138,0.7642791429545762,0.7814072490655891,0.012201531387366888,54,0.9874466876555363,0.9834010491612327,0.9859781091511883,0.9856086153226524,0.0016721626662583552
3.975127617518107,0.024589815844855287,0.06579875946044922,0.00011462273327638306,,1,10,400,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",0.7854484585226531,0.7895770037308076,0.7655689603139122,0.780198140855791,0.010480805117900296,67,0.9865683687119962,0.9856823964707211,0.9837168290784477,0.9853225314203883,0.0011916226223830718
8.49161163965861,0.17335895630661788,0.1502834955851237,0.03335150474694221,,1,10,800,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",0.7911963355036823,0.7860484976788851,0.7678369935759985,0.7816939422528554,0.01002118850377821,51,0.9871378136557596,0.9873885101879963,0.984584753359037,0.9863703590675975,0.0012667551717287346
2.138044993082682,0.01884967142074743,0.04465047518412272,0.010727241472377842,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7986968395375968,0.7954639574753057,0.7770748809102113,0.7904118926410378,0.009522597441116137,23,0.9939677654545755,0.9948351837622004,0.9945371587704603,0.9944467026624121,0.00035985215548713534
4.130784829457601,0.14326240597767206,0.07124964396158855,0.007455479403328922,,2,2,400,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",0.7973410397324696,0.8039775512046639,0.7693485737243264,0.7902223882204865,0.015006618980641456,26,0.9928287799968474,0.993958628969144,0.9945371587704603,0.9937748559121505,0.0007094452813714688
8.395609935124716,0.21159464336990305,0.1845717430114746,0.07341815281034778,,2,2,800,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.7972009628261258,0.8005353580911858,0.7716375153408352,0.7897912787527156,0.012908624828819139,30,0.9939677654545755,0.9936987405228359,0.9951066762734486,0.9942577274169534,0.0006102618149520404
2.042499383290609,0.16673810824157712,0.04534308115641276,0.0036758226854137557,,2,6,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 200}",0.7886814979912282,0.7943916413425138,0.7777246690213274,0.7869326027850231,0.006915729290080393,38,0.9891097039907968,0.9859177993003159,0.9893988119045332,0.9881421050652154,0.0015772439989360746
4.3192979494730634,0.18600842339561421,0.1007707913716634,0.06623152070712338,,2,6,400,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 400}",0.7932543060850393,0.7962797224183504,0.7665308923331381,0.785354973612176,0.013367817398447016,42,0.9896751799722888,0.9867844647604994,0.9885312139151948,0.9883302862159944,0.0011886512143734363
8.28574268023173,0.22745972613757126,0.13136506080627441,0.012355176310554954,,2,6,800,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 800}",0.7942438880775403,0.7956852263599308,0.7651714151241769,0.7850335098538826,0.01405694298914066,45,0.9879353237789358,0.987356117437364,0.9882565772734926,0.9878493394965974,0.00037260519921862757
1.9780925909678142,0.0809188189538998,0.041817665100097656,0.0007251958237144612,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.7851395759045596,0.7898185481061042,0.7658539669355366,0.7802706969820669,0.010371588568186365,64,0.9645346072891172,0.9736274309157107,0.9693986914894894,0.9691869098981059,0.00371514907353849
3.932784636815389,0.1354490087682917,0.07058342297871907,0.006780544788710368,,2,10,400,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",0.7793679898965619,0.794420152465738,0.7640038314176245,0.7792639912599748,0.012417628821230663,73,0.9679386622444984,0.9736024589830594,0.972536450477627,0.9713591905683949,0.0024575196227561605
8.421701431274414,0.0840306033554596,0.1555325984954834,0.02781642084893763,,2,10,800,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}",0.7800233497699214,0.7950142286354318,0.7625606901444072,0.7791994228499202,0.013261904886408818,76,0.9670841631029983,0.9733011649354836,0.9730935952922022,0.971159641110228,0.002883043765393668
1.7813874085744221,0.12144477583984854,0.03818869590759277,0.004796711987256205,,4,2,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.7913420690457081,0.7876903134539828,0.7619522882473753,0.7803282235823553,0.013078992807856748,58,0.955395598332654,0.9584462592536064,0.9574029591033784,0.9570816055632129,0.001265986858012147
3.7561336358388266,0.23233661617392345,0.07102441787719727,0.00793346800850056,,4,2,400,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",0.7884678359446399,0.7833785305347387,0.7614054474787872,0.7777506046527219,0.01174303707647739,89,0.9570913428233764,0.9616193700000121,0.9587973308300218,0.9591693478844702,0.001867182377217632
7.804106950759888,0.4779618253686418,0.17001589139302573,0.017063107182792525,,4,2,800,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 800}",0.7889950057779899,0.7902581878801656,0.7580541693856367,0.7791024543479307,0.014892316411408542,81,0.952814096296588,0.9616140952514668,0.9556714942169412,0.9566998952549987,0.0036654423946526397
1.9071632226308186,0.1461926946400076,0.04274272918701172,0.0002097241637363012,,4,6,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 200}",0.7913420690457081,0.7876903134539828,0.7619522882473753,0.7803282235823553,0.013078992807856748,58,0.955395598332654,0.9584462592536064,0.9574029591033784,0.9570816055632129,0.001265986858012147
3.8769518534342446,0.12293845262994485,0.06805531183878581,0.0010987389838922326,,4,6,400,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 400}",0.7884678359446399,0.7833785305347387,0.7614054474787872,0.7777506046527219,0.01174303707647739,89,0.9570913428233764,0.9616193700000121,0.9587973308300218,0.9591693478844702,0.001867182377217632
7.840563694636027,0.0450412216947897,0.17750167846679688,0.03355126834551613,,4,6,800,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 800}",0.7889950057779899,0.7902581878801656,0.7580541693856367,0.7791024543479307,0.014892316411408542,81,0.952814096296588,0.9616140952514668,0.9556714942169412,0.9566998952549987,0.0036654423946526397
1.9017151991526287,0.12521688883081586,0.042052904764811196,0.0017950159020865151,,4,10,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.7766190439758851,0.7783978746144543,0.7620752365319522,0.7723640517074305,0.007311445269645995,105,0.9505021420624153,0.948202286951723,0.9448236773194116,0.9478427021111834,0.0023321258403072955
3.829057057698568,0.0970507489053613,0.06625199317932129,0.0005417677028422764,,4,10,400,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",0.7784180639851115,0.7844846490767433,0.7630756200374718,0.7753261110331088,0.009009504643953944,98,0.9456512149705021,0.9493215559999852,0.9453810171977733,0.9467845960560869,0.0017972898165117845
7.645596106847127,0.23588232248529753,0.1498725414276123,0.041867414538376474,,4,10,800,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}",0.784049726369175,0.7835246866372694,0.7517906180925344,0.773121677032993,0.015084859370043988,101,0.9465332657727004,0.9513012866762868,0.9467964893398176,0.9482103472629348,0.002188264381396116
2.212346315383911,0.12025869997465533,0.04119340578715006,0.001593441106996236,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7961350420744253,0.7985877970454571,0.7757891247411177,0.7901706546203334,0.010218457254304097,29,1.0,1.0,1.0,1.0,0.0
4.595917224884033,0.20207703654521703,0.07447044054667155,0.006419396472230849,20,1,2,400,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.7977189676934693,0.8096727342067219,0.7745267815242385,0.7939728278081432,0.014590742967607104,15,1.0,1.0,1.0,1.0,0.0
